iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
khp,Kapori,200,135,200,0.0,no observed rate; projected flat
khr,Kharia,100000,67506,100000,0.0,no observed rate; projected flat
kht,Khamti,14000,9451,14000,0.0,no observed rate; projected flat
khv,Khvarshi,300,136,300,0.0,no observed rate; projected flat
khw,Khowar,300000,202518,300000,0.0,no observed rate; projected flat
khx,Kanu,3500,1585,3500,0.0,no observed rate; projected flat
kia,Kim,15400,10396,15400,0.0,no observed rate; projected flat
kic,Kickapoo,1100,498,1100,0.0,no observed rate; projected flat
kid,Koshin,3250,1472,3250,0.0,no observed rate; projected flat
kih,Kilmeri,2200,997,2200,0.0,no observed rate; projected flat
kil,Kariya,3000,1359,3000,0.0,no observed rate; projected flat
kio,Kiowa,50,10,50,0.0,no observed rate; projected flat
kiq,Kosadle,250,113,250,0.0,no observed rate; projected flat
kis,Kis,216,98,216,0.0,no observed rate; projected flat
kix,Khiamniungan Naga,47800,32268,47800,0.0,no observed rate; projected flat
kiy,Kirikiri,250,113,250,0.0,no observed rate; projected flat
kja,Mlap,300,136,300,0.0,no observed rate; projected flat
kjb,Q'anjob'al,99211,66973,99211,0.0,no observed rate; projected flat
kjh,Khakas,6000,2718,6000,0.0,no observed rate; projected flat
kjj,Khinalugh,3000,1359,3000,0.0,no observed rate; projected flat
kjm,Kháng,3921,1776,3921,0.0,no observed rate; projected flat
kjq,Acoma-Laguna,4000,1812,4000,0.0,no observed rate; projected flat
kkc,Odoodee,490,222,490,0.0,no observed rate; projected flat
kkk,Kokota,1200,544,1200,0.0,no observed rate; projected flat
kkm,Kiong,50,10,50,0.0,no observed rate; projected flat
kko,Karko (Sudan),4000,1812,4000,0.0,no observed rate; projected flat
kkt,Koi,2500,1132,2500,0.0,no observed rate; projected flat
kku,Tumi,2270,1028,2270,0.0,no observed rate; projected flat
kle,Kulung (Nepal),33200,15038,33200,0.0,no observed rate; projected flat
klf,Kendeje,1000,453,1000,0.0,no observed rate; projected flat
klh,Weliki,200,91,200,0.0,no observed rate; projected flat
klj,Khalaj,20000,13501,20000,0.0,no observed rate; projected flat
klk,Kono,5520,2500,5520,0.0,no observed rate; projected flat
klo,Kapya,200,91,200,0.0,no observed rate; projected flat
klr,Khaling,15000,10126,15000,0.0,no observed rate; projected flat
kls,Kalasha,4000,1812,4000,0.0,no observed rate; projected flat
klt,Nukna,1000,675,1000,0.0,no observed rate; projected flat
kly,Kalao,400,181,400,0.0,no observed rate; projected flat
kma,Konni,3800,2565,3800,0.0,no observed rate; projected flat
kme,Bakole,300,136,300,0.0,no observed rate; projected flat
kmi,Kami (Nigeria),5000,2265,5000,0.0,no observed rate; projected flat
kmj,Kumarbhag Paharia,20200,13636,20200,0.0,no observed rate; projected flat
kmm,Kom,15467,10441,15467,0.0,no observed rate; projected flat
kmn,Awtuw,400,181,400,0.0,no observed rate; projected flat
kmo,Kwoma,2925,1325,2925,0.0,no observed rate; projected flat
kmq,Kwama,15000,10126,15000,0.0,no observed rate; projected flat
kms,Kamasau,700,317,700,0.0,no observed rate; projected flat
knj,Akateko,5572,2524,5572,0.0,no observed rate; projected flat
knm,Dyapá,1650,747,1650,0.0,no observed rate; projected flat
knq,Kintaq,550,249,550,0.0,no observed rate; projected flat
knr,Kaningra,327,148,327,0.0,no observed rate; projected flat
kns,Kensiu,500,226,500,0.0,no observed rate; projected flat
knt,Katukina do Acre,318,144,318,0.0,no observed rate; projected flat
knv,Tabo,3000,1359,3000,0.0,no observed rate; projected flat
knw,!Xun,16000,10801,16000,0.0,no observed rate; projected flat
knz,Kalamsé,5500,2491,5500,0.0,no observed rate; projected flat
koa,Konomala,800,362,800,0.0,no observed rate; projected flat
kog,Cogui,9770,6595,3869,-0.035001,observed rate -11.18%/yr → clamped to -3.50%/yr
koi,Komi-Permyak,110000,74257,110000,0.0,no observed rate; projected flat
kol,Kol,4000,1812,4000,0.0,no observed rate; projected flat
koq,Kota (Gabon),43460,29338,43460,0.0,no observed rate; projected flat
kos,Kosraean,7790,5259,3085,-0.034992,observed rate -9.10%/yr → clamped to -3.50%/yr
kot,Lagwan,10000,6751,10000,0.0,no observed rate; projected flat
kou,Koke,600,272,600,0.0,no observed rate; projected flat
koy,Koyukon,150,30,150,0.0,no observed rate; projected flat
kpa,Kupto,1500,679,1500,0.0,no observed rate; projected flat
kpc,Curripaco,12075,8151,12075,0.0,no observed rate; projected flat
kpg,Kapingamarangi,3000,1359,3000,0.0,no observed rate; projected flat
kpi,Kofei,100,45,100,0.0,no observed rate; projected flat
kpj,Karajá,3060,1386,3060,0.0,no observed rate; projected flat
